open_time,open,high,low,close,volume
2026-02-17 13:25:00,68341.7,68356.86,68098.26,68122.14,102.42084
2026-02-17 13:30:00,68122.15,68125.2,67963.0,68006.89,54.29943
2026-02-17 13:35:00,68006.9,68074.38,68006.9,68056.2,25.80509
2026-02-17 13:40:00,68056.2,68056.21,67970.57,68019.92,21.23128
2026-02-17 13:45:00,68019.93,68049.41,67989.85,68028.83,25.71839
2026-02-17 13:50:00,68028.84,68356.85,68020.0,68212.01,138.38373
2026-02-17 13:55:00,68212.02,68235.3,68097.73,68136.34,50.01673
2026-02-17 14:00:00,68136.35,68204.21,68056.29,68204.21,33.28536
2026-02-17 14:05:00,68204.21,68337.6,68176.0,68197.44,89.0538
2026-02-17 14:10:00,68197.44,68197.44,68089.43,68097.67,57.16841
2026-02-17 14:15:00,68097.67,68187.07,68083.4,68145.53,96.74152
2026-02-17 14:20:00,68145.53,68157.27,67984.4,68021.75,64.98616
2026-02-17 14:25:00,68021.76,68081.83,68012.11,68026.68,56.05793
2026-02-17 14:30:00,68026.68,68250.46,67901.42,68087.23,282.61546
2026-02-17 14:35:00,68087.22,68144.65,67474.61,67608.53,323.43814
2026-02-17 14:40:00,67608.53,67633.28,66902.15,67103.87,549.32697
2026-02-17 14:45:00,67103.87,67107.71,66811.01,67090.34,293.05835
2026-02-17 14:50:00,67090.34,67115.59,66734.3,66887.38,307.62787
2026-02-17 14:55:00,66887.37,67053.9,66810.6,66875.06,175.27642
2026-02-17 15:00:00,66875.06,67118.88,66864.0,67098.03,173.97911
2026-02-17 15:05:00,67098.03,67210.0,66929.37,67027.63,189.51784
2026-02-17 15:10:00,67027.63,67135.99,66795.55,66800.02,209.014
2026-02-17 15:15:00,66800.02,67130.0,66786.17,67129.99,270.23983
2026-02-17 15:20:00,67130.0,67166.41,66946.09,66975.84,232.06116
2026-02-17 15:25:00,66975.85,67018.0,66734.99,66845.0,213.20247
2026-02-17 15:30:00,66845.0,66898.66,66621.06,66723.13,286.08518
2026-02-17 15:35:00,66723.13,66964.17,66723.13,66787.94,196.92041
